发行商,平均在线玩家数
TrisPix Studio,5494.0
314 Arts,5479.0
WildWorks,5448.0
Nicalis,5285.0
Warner Bros. Interactive Entertainment,5249.0
10 Chambers Collective,5224.0
Creaky Corpse Ltd,5154.0
Entrada Interactive LLC,5141.0
Creepy Jar,5124.0
IGG SINGAPORE PTE. LTD.,5106.0
Behaviour Interactive Inc.,5104.0
Leaning Tower Studio,5092.0
RUST LTD.,5084.0
Art-Pulsar,5070.0
Microsoft Studios,5020.0
Turbulon Interactive,4991.0
Nickana Studio,4988.0
Fresh Wind Software,4980.0
Bennett Foddy,4959.0
Triadne,4947.0
Frozenmark Games,4933.0
Heart Machine,4929.0
Wizards of the Coast LLC,4904.0
Lion Shield,4836.0
Team Meat,4836.0
Galactic Cafe,4818.0
Burnin Ape,4793.0
wins_84,4776.0
Wandering Wizard,4751.0
Square Enix,4729.0
Atelier 801,4680.0
800 North and Digital Ranch,4569.0
ErayTek,4559.0
Planetary Annihilation Inc,4543.0
Boxelware,4533.0
Dio Alias Games,4529.0
Vulkano Forge,4477.0
SOFTSTAR Entertainment,4465.0
PlayStation Mobile,4464.0
MY.GAMES,4442.0
89AM Studio,4422.0
Toadman Interactive,4414.0
Zero Point Software,4398.0
Payload Studios,4361.0
Vostok Games,4340.0
Freakinware Studios,4321.0
Cellar Door Games,4320.0
DANKIE,4278.0
KFC,4234.0
Deep Silver,4227.0
EVGA,4226.0
Cloudcade,4222.0
Edmund McMillen,4191.0
"Project ""The Game""",4156.0
BANDAI NAMCO Entertainment Europe,4156.0
Rebellion,4132.0
Dry Cactus,4126.0
GeexGames,4122.0
Piranha Games Inc.,4111.0
Fish Factory Games,4089.0
Fiassink Games,4075.0
BetaDwarf,4021.0
BlackSpot Entertainment,4020.0
Game Science,4014.0
SQUARE ENIX,4000.0
SMP,3995.0
Polymorph Games,3969.0
Laminar Research,3966.0
Egosoft,3946.0
Hyper Hippo Games,3945.0
Nolla Games,3919.0
SBSoftLab,3876.0
Agharta Studio,3853.0
Timushev Vladimir,3850.0
Focus Home Interactive,3850.0
11 bit studios,3842.0
Lapovich Team,3829.0
KIXEYE,3814.0
Dovetail Games - Trains,3806.0
VaragtP,3788.0
CubeInSquare,3788.0
Bitbox Ltd.,3782.0
MOVE ON USA CO.,3781.0
Activision,3759.0
DL Softworks,3739.0
Capcom,3729.0
北京网元圣唐娱乐科技有限公司,3702.0
Studio GPBeta,3697.0
BlankMediaGames,3687.0
Deca Games,3678.0
Scott Cawthon,3667.0
oddonegames,3656.0
3909,3629.0
HypeTrain Digital,3624.0
Gamera Game,3620.0
League of Geeks,3615.0
Elastic Games,3614.0
Bruno Freitas,3599.0
The Quantum Astrophysicists Guild,3587.0
Blind Recluse,3577.0
Kalypso Media,3557.0
Remedy Entertainment,3550.0
Chubby Pixel,3540.0
Electronic Arts,3528.0
Back To Basics Gaming,3516.0
Fistful of Frags Team,3498.0
The Indie Stone,3475.0
Shangshixuan,3469.0
New Worlds Games,3457.0
Codebrush Games,3446.0
